Ticker,Name,Inception_Date,Index_Fund,Global_Category,#_of_Stock_Holdings,Total_Market_Value,Average_Market Cap_(mil),P_B_Ratio_(TTM),P_C_Ratio_(TTM),P_E_Ratio_(TTM),P_S_Ratio_(TTM),Debt_to_Capital_%_(trailing),Net_Margin_%_(trailing),ROA_%_(TTM),ROE_%_(TTM),P_FCF_Ratio_(TTM),ROIC_(TTM),Equity_Style_Factor_P_E,Equity_Style_Factor_P_B,Equity_Style_Factor_P_S,Equity_Style_Factor_P_C,Equity_Style_Factor_Div_Yld,Equity_Style_Factor_LT_Earn_Growth,Equity_Style_Factor_Hist_Earn_Growth,Equity_Style_Factor_BV_Growth,Equity_Style_Factor_Sales_Growth,Equity_Style_Factor_CF_Growth
FMILX,Fidelity® New Millennium,12/28/1992,No,US Equity Large Cap Growth,242.00,1677473865.00,11238.87,1.82,9.38,19.33,1.18,34.78,5.95,2.46,5.62,21.53,7.46,15.58,1.70,0.94,5.56,2.76,11.30,-7.85,-18.22,-3.48,5.61
FMIMX,FMI Common Stock,12/18/1981,No,US Equity Mid Cap,46.00,810623474.00,2304.18,1.83,6.92,16.34,0.70,28.67,2.99,3.66,10.02,12.87,7.55,15.46,1.92,0.60,3.26,1.79,11.36,-1.92,-0.30,5.38,12.19
FMIVX,Virtus Contrarian Value A,12/30/1997,No,US Equity Mid Cap,33.00,398225538.00,7225.89,1.79,6.11,14.86,0.68,48.92,1.66,2.74,9.63,13.58,5.21,14.03,1.37,0.57,6.30,2.43,8.74,-5.09,2.70,1.29,3.17
FMIZX,Franklin Mutual International Z,5/1/2009,No,Global Equity Large Cap,88.00,9878127.00,6646.31,1.41,4.79,13.66,0.81,,9.85,4.72,11.38,,10.06,11.48,1.07,0.53,3.25,5.74,7.65,-1.55,-0.67,-6.54,3.60
FMNEX,Free Market International Equity Instl,12/31/2007,No,Global Equity Mid/Small Cap,0.00,294294699.00,3423.29,0.94,3.33,12.09,0.39,34.71,5.02,1.86,5.03,,,13.11,0.87,0.38,2.90,4.26,10.49,34.00,-58.93,-56.22,-72.20
FMSLX,FMC Select,5/8/1995,No,US Equity Large Cap Growth,37.00,187765127.00,17161.26,2.15,9.56,13.95,1.47,36.90,13.00,9.01,19.43,12.18,17.78,13.48,1.86,0.96,8.60,1.44,9.87,3.86,-5.01,-2.16,-10.12
FMSVX,FMC Strategic Value,8/17/1998,No,US Equity Small Cap,34.00,188432706.00,1534.84,1.52,5.16,16.02,0.50,45.28,-2.58,-1.85,0.16,8.00,0.36,16.73,1.38,0.37,4.15,1.88,14.79,-9.36,0.63,-0.57,4.89
FMUEX,RBB Free Market US Equity Instl,12/31/2007,No,US Equity Mid Cap,0.00,392846592.00,3273.66,1.27,5.80,16.63,0.66,35.11,-1.02,-1.62,-0.45,14.58,1.73,14.61,1.24,0.52,3.69,2.27,9.23,-7.25,-5.09,1.22,4.54
FMVZX,Franklin Mid Cap Value Adv,7/1/2005,No,US Equity Mid Cap,56.00,55229941.00,4563.88,1.75,6.52,16.39,0.98,39.86,6.64,3.87,10.68,16.36,6.88,14.45,1.70,0.78,5.63,2.99,10.18,0.70,0.29,5.61,7.29
FNARX,Fidelity® Select Natural Resources Port,3/3/1997,No,Energy Sector Equity,98.00,1536992730.00,12618.60,2.05,8.40,19.65,1.52,30.29,6.36,0.08,4.64,75.82,3.91,17.26,1.75,0.97,4.37,1.19,12.70,11.58,-13.89,-14.10,-27.33
FNCMX,Fidelity® Nasdaq Composite Index®,9/25/2003,Yes,US Equity Large Cap Growth,2072.00,239914244.00,14513.95,2.71,11.40,23.57,1.84,22.88,10.31,5.80,12.74,17.11,13.21,19.40,2.60,1.21,6.85,1.68,10.93,2.37,2.40,-15.19,-35.35
FNGZX,Franklin Intl Growth Adv,6/3/2008,No,Global Equity Large Cap,41.00,12104823.00,11140.50,3.06,9.28,17.62,1.44,,14.41,9.46,23.44,,20.76,16.24,2.15,1.21,8.16,4.25,10.52,7.11,8.08,15.15,23.85
FNORX,Fidelity® Nordic,11/1/1995,No,Other Equity,61.00,341293523.00,11316.22,1.17,1.78,10.53,0.85,,11.01,4.70,15.04,,10.87,17.16,0.94,0.61,2.65,7.16,5.79,-12.45,-18.63,-14.53,-52.73
FNSVX,Frontier Netols Small Cap Value Instl,12/16/2005,No,US Equity Small Cap,76.00,97188758.00,1083.75,1.76,7.65,18.34,0.82,31.03,2.27,0.80,6.74,13.54,3.11,16.89,1.63,0.64,5.31,2.21,11.59,0.24,-2.44,7.50,2.13
FOCAX,AIG Focused Multi-Cap Growth A,7/28/2005,No,US Equity Large Cap Growth,,,,,,,,,,,,,,,,,,,,,,,
FOCPX,Fidelity® OTC,12/31/1984,No,US Equity Large Cap Growth,216.00,6121594814.00,15637.60,2.91,11.76,27.64,1.44,30.00,6.97,2.60,9.22,21.38,9.44,21.03,2.60,1.13,4.80,0.83,13.59,-13.89,4.30,16.50,-5.34
FOGRX,Tributary Growth Opps Inst,4/1/1998,No,US Equity Mid Cap,61.00,64425217.00,4690.83,2.41,10.20,18.06,1.33,27.34,9.43,7.60,17.14,15.10,13.22,15.71,2.33,1.10,7.84,1.27,13.50,14.61,10.31,15.25,16.61
FOHIX,Fidelity® Series 100 Index,3/29/2007,Yes,US Equity Large Cap Blend,100.00,5988534730.00,92057.49,2.29,9.43,18.14,1.38,35.62,10.53,7.03,17.81,14.79,15.73,14.41,2.25,1.15,6.96,2.82,8.99,-6.94,-2.63,6.14,11.05
FOOLX,Motley Fool Independence Investor,6/16/2009,No,Global Equity,,,,,,,,,,,,,,,,,,,,,,,
FOPIX,Fidelity Advisor® Intl Sm Cap Opps I,8/2/2005,No,Global Equity Mid/Small Cap,,,,,,,,,,,,,,,,,,,,,,,
FOSCX,Tributary Small Company Instl,6/10/1996,No,US Equity Small Cap,64.00,57760429.00,1523.18,1.72,8.08,18.70,1.08,26.22,5.49,3.02,5.75,12.84,4.96,16.61,1.68,0.84,7.64,2.28,10.85,2.35,4.08,9.81,3.80
FOSFX,Fidelity® Overseas,12/4/1984,No,Global Equity Large Cap,139.00,7288187524.00,25295.06,1.48,4.68,13.70,0.79,40.62,7.15,3.07,10.78,,7.81,13.81,1.25,0.63,3.16,5.29,6.86,-13.31,-8.05,-3.61,-21.75
FPBFX,Fidelity® Pacific Basin,10/1/1986,No,Asia Equity,171.00,631818966.00,2698.75,1.41,5.98,12.39,0.77,30.06,11.98,7.53,14.15,,16.54,14.43,1.31,0.67,3.16,3.00,12.86,21.30,-3.59,-12.65,5.55
FPCGX,Fort Pitt Capital Total Return,12/31/2001,No,US Equity Large Cap Blend,40.00,31744114.00,17485.50,1.92,7.24,17.79,1.38,36.50,4.42,2.89,9.90,9.34,10.84,14.59,1.94,1.19,5.59,2.60,9.23,-2.28,0.59,-9.97,1.07
FPHAX,Fidelity® Select Pharmaceuticals Port,6/18/2001,No,Healthcare Sector Equity,132.00,206001648.00,33256.40,2.99,11.29,15.43,2.03,28.01,14.15,7.03,17.52,14.25,13.12,11.65,3.13,1.78,8.55,1.73,7.33,8.23,1.94,8.66,11.52
FPPFX,FPA US Value,4/2/1984,No,US Equity Large Cap Blend,30.00,243155993.00,2746.55,2.20,9.42,22.33,1.11,23.43,4.37,3.67,6.45,15.53,7.80,18.52,2.06,0.86,7.42,1.30,12.79,1.34,7.91,10.54,15.86
FPPTX,FPA Capital,7/15/1968,No,US Equity Mid Cap,22.00,1136212588.00,2841.49,1.35,4.45,,0.69,23.78,6.95,-5.50,-12.30,9.96,-1.51,14.88,1.27,0.49,3.80,1.26,13.23,8.41,5.49,9.55,18.00
FPRAX,FPA Paramount,9/8/1958,No,Global Equity,31.00,241284411.00,2760.74,2.18,9.30,22.16,1.12,23.63,4.36,3.58,6.29,15.21,7.70,18.50,2.05,0.86,7.34,1.36,12.78,1.53,7.57,10.50,15.18
FPSVX,Frontier Phocas Small Cap Value Instl,9/29/2006,No,US Equity Small Cap,108.00,18833759.00,1113.66,1.26,6.60,16.46,0.83,30.96,1.11,-0.78,-0.72,10.90,2.79,15.57,1.15,0.70,4.29,3.22,11.31,-4.47,-0.71,6.07,20.83
FRAAX,Franklin Growth Opportunities Adv,6/23/1999,No,US Equity Large Cap Growth,82.00,441635699.00,9633.86,3.88,16.09,25.79,2.67,25.01,12.43,8.33,17.77,25.55,13.50,21.88,3.53,2.11,11.08,0.65,16.58,16.55,14.05,16.13,17.01
FRBFX,JHancock Regional Bank B,10/4/1985,No,Financials Sector Equity,59.00,663876367.00,5452.24,1.12,,20.09,1.93,44.85,4.99,0.32,3.16,,,16.12,0.94,1.73,3.52,4.91,8.39,-19.52,6.66,3.95,
FRBSX,Franklin Balance Sheet Investment A,4/2/1990,No,US Equity Mid Cap,101.00,2495148063.00,2410.10,1.04,5.10,14.50,0.62,33.53,0.78,-0.09,0.51,20.43,0.39,13.25,1.10,0.51,3.46,2.67,10.08,-8.71,-3.43,0.20,1.65
FRDPX,Franklin Rising Dividends A,1/14/1987,No,US Equity Large Cap Blend,45.00,2046047826.00,11286.17,2.34,9.44,17.76,1.25,29.77,8.44,6.10,14.93,13.08,10.60,14.51,2.45,1.06,8.35,2.88,11.24,2.35,1.22,7.91,8.90
FREEX,Franklin Real Estate Securities A,1/3/1994,No,Real Estate Sector Equity,40.00,221344590.00,5533.96,1.64,,37.52,2.31,55.02,9.99,1.35,4.08,,,38.12,1.72,3.22,9.81,5.85,5.37,4.19,4.42,5.16,
FRESX,Fidelity® Real Estate Investment Port,11/17/1986,No,Real Estate Sector Equity,38.00,2694062657.00,5151.18,1.69,,35.63,2.88,59.68,4.77,0.68,2.64,,,39.01,1.37,2.03,6.99,7.72,5.68,7.75,2.00,6.29,
FRIFX,Fidelity® Real Estate Income,2/4/2003,No,Real Estate Sector Equity,,,,,,,,,,,,,,,,,,,,,,,
FRMCX,Franklin MicroCap Value A,12/12/1995,No,US Equity Small Cap,76.00,333385367.00,194.47,0.84,4.93,11.59,0.33,25.27,0.04,-0.13,0.18,9.17,1.41,11.18,0.86,0.29,4.83,2.11,12.35,1.31,-4.05,-0.43,-7.94
FRNKX,Frank Value Inv,7/21/2004,No,US Equity Mid Cap,29.00,1832996.00,4956.42,2.19,8.51,15.19,0.74,30.73,7.12,7.69,15.31,11.55,14.37,12.98,1.97,0.59,6.50,0.83,12.12,17.96,4.81,21.21,-3.37
FRNRX,Franklin Natural Resources A,6/5/1995,No,Natural Resources Sector Equity,99.00,807005800.00,13005.19,2.00,7.82,18.48,1.26,27.71,7.22,-0.06,4.03,-436.68,1.58,16.53,1.62,0.74,4.35,1.31,11.81,17.29,12.01,21.29,20.42
FRSGX,Franklin Small-Mid Cap Growth A,2/14/1992,No,US Equity Mid Cap,110.00,3530361209.00,5396.18,3.14,12.74,22.52,1.70,27.63,9.40,7.60,16.53,20.78,11.74,20.22,2.97,1.38,9.49,0.95,15.06,12.69,7.76,15.50,14.87
FRSPX,Dreyfus Mid-Cap Growth F,9/8/1961,No,US Equity Mid Cap,46.00,118546141.00,6708.15,3.94,12.89,19.93,1.39,20.19,15.26,13.52,24.31,16.01,22.66,18.44,3.74,1.09,10.38,0.66,14.86,29.81,14.75,20.08,26.28
FRVLX,Franklin Small Cap Value A,3/11/1996,No,US Equity Small Cap,113.00,1286791345.00,1441.96,1.29,5.40,14.83,0.68,26.35,1.96,0.60,1.43,11.79,2.08,15.01,1.30,0.52,2.83,2.25,11.76,-6.56,-0.70,3.51,7.19
FSAEX,Fidelity® Series All-Sector Equity,10/17/2008,No,US Equity Large Cap Growth,328.00,7869536476.00,24666.46,2.05,8.69,18.49,1.27,34.89,4.43,3.08,8.24,20.56,8.67,15.36,1.90,0.99,4.37,2.36,10.18,2.20,-19.13,-9.57,7.10
FSAGX,Fidelity® Select Gold,12/16/1985,No,Precious Metals Sector Equity,84.00,3193762960.00,10379.22,2.75,20.19,26.39,6.02,12.93,5.15,-0.10,-1.71,-54.11,0.48,22.74,2.05,3.30,2.52,0.59,15.72,6.06,-13.78,-9.75,-30.83
FSAIX,Fidelity® Select Air Transportation Port,12/16/1985,No,Industrials Sector Equity,27.00,65473552.00,3569.69,1.97,4.06,,0.30,65.86,0.02,-0.10,6.06,8.24,2.46,11.59,2.61,0.24,4.08,0.86,11.46,-17.83,-22.73,-0.08,-25.55
FSAVX,Fidelity® Select Automotive Port,6/30/1986,No,Consumer Goods & Services Sector Equity,29.00,121469733.00,2995.29,1.84,4.30,,0.29,49.88,-4.18,-5.45,-16.56,42.59,-1.27,16.42,1.91,0.23,1.01,2.42,10.76,-20.75,-19.96,-4.18,37.02
FSCCX,Nuveen Small Cap Value I,8/1/1994,No,US Equity Small Cap,99.00,195906160.00,864.89,1.38,5.52,15.09,0.68,36.85,0.40,0.18,1.71,9.69,3.52,15.04,1.35,0.58,3.35,2.60,10.78,1.38,1.21,5.62,14.60
FSCFX,Strategic Advisers® Small-Mid Cap,6/23/2005,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
FSCGX,Fidelity® Select Industrial Equip Port,9/29/1986,No,Industrials Sector Equity,51.00,113082817.00,12976.67,2.34,7.98,17.71,0.89,38.23,4.13,3.97,9.80,10.05,8.91,17.08,2.60,0.70,6.89,1.98,11.81,3.78,0.68,6.36,3.99
FSCHX,Fidelity® Select Chemicals,7/29/1985,No,Natural Resources Sector Equity,39.00,410841410.00,12543.45,2.80,8.36,19.38,0.97,38.33,6.71,5.04,10.97,20.53,8.98,17.33,3.01,0.77,6.80,1.85,9.62,-0.07,-2.94,8.08,-3.10
FSCIX,Fidelity Advisor® Small Cap I,9/9/1998,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
FSCPX,Fidelity® Select Consumer Discret Port,6/29/1990,No,Consumer Goods & Services Sector Equity,105.00,65256735.00,11600.67,2.25,7.38,19.50,0.76,35.96,1.90,4.69,10.52,12.25,10.11,17.02,2.33,0.56,5.21,1.68,10.17,9.67,-1.74,4.71,12.61
FSCRX,Fidelity® Small Cap Discovery,9/26/2000,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
FSCSX,Fidelity® Select Software & IT Svcs Port,7/29/1985,No,Technology Sector Equity,72.00,1014278372.00,34087.51,4.11,15.63,26.82,4.11,15.15,16.30,10.48,20.51,17.03,18.03,22.87,3.90,3.24,13.05,0.23,12.96,31.66,9.13,-0.16,11.75
FSDAX,Fidelity® Select Defense & Aero Port,5/8/1984,No,Industrials Sector Equity,42.00,590131108.00,11754.38,2.65,9.98,14.75,0.97,35.72,7.30,6.54,17.87,12.15,13.59,13.78,2.86,0.83,6.88,1.54,11.41,15.30,-0.09,11.28,18.35
FSDCX,Fidelity® Select Comms Equip Port,6/29/1990,No,Technology Sector Equity,105.00,345811071.00,6406.88,2.52,13.03,34.26,2.21,21.51,3.81,2.19,1.50,21.46,6.64,25.76,2.15,1.57,6.01,0.82,15.54,-1.29,-1.99,4.28,15.53
FSDPX,Fidelity® Select Materials,9/29/1986,No,Natural Resources Sector Equity,57.00,676632527.00,11333.11,2.30,7.28,21.09,0.97,41.57,3.52,0.30,6.09,19.53,6.13,17.25,2.30,0.68,6.77,2.60,9.39,-0.91,-3.41,8.17,5.39
FSEAX,Fidelity® Emerging Asia,4/19/1993,No,Asia ex-Japan Equity,194.00,1856389805.00,14531.64,2.01,7.50,8.88,1.02,21.63,18.54,6.88,16.24,,15.78,12.75,1.77,0.81,3.97,2.97,14.52,13.53,-36.74,-32.58,-39.43
FSELX,Fidelity® Select Semiconductors,7/29/1985,No,Technology Sector Equity,98.00,1207173262.00,11640.58,2.64,12.18,41.34,2.03,17.92,-5.30,-4.70,-5.60,20.12,2.23,17.73,2.11,1.53,2.92,1.76,12.17,-1.42,-6.45,2.75,-1.53
FSEMX,Fidelity® Extended Market Index Investor,11/5/1997,Yes,US Equity Mid Cap,3060.00,3607962648.00,2198.55,1.65,6.95,17.83,0.91,35.16,3.58,0.08,4.10,18.70,2.50,16.68,1.58,0.64,4.47,2.42,9.10,-4.38,-1.46,3.43,8.60
FSENX,Fidelity® Select Energy,7/14/1981,No,Energy Sector Equity,90.00,2198813736.00,12339.64,1.94,7.43,17.08,1.55,28.51,8.26,2.27,6.14,66.40,4.55,17.33,1.61,0.95,4.11,1.15,13.58,11.70,-11.14,-11.42,-24.49
FSESX,Fidelity® Select Energy Service Port,12/16/1985,No,Energy Sector Equity,63.00,1260599884.00,9501.91,1.69,6.91,13.64,1.48,24.45,12.41,7.06,12.26,17.37,8.97,15.99,1.52,1.05,4.75,0.65,18.11,20.96,-17.50,-25.13,-35.03
FSGEX,Fidelity® Series Global ex US Index,9/29/2009,Yes,Global Equity Large Cap,1709.00,21358764.00,26080.85,1.62,5.33,12.43,0.95,34.78,10.18,4.72,12.19,,,14.06,1.39,0.70,3.58,4.20,12.96,144.86,-50.91,-52.04,-40.47
FSHCX,Fidelity® Select Health Care Svcs Port,6/30/1986,No,Healthcare Sector Equity,62.00,427340610.00,10583.88,2.00,7.80,15.25,0.36,37.55,3.02,4.97,17.71,10.25,10.63,12.82,2.19,0.33,8.30,0.23,12.73,-1.66,2.09,11.85,4.72
FSHOX,Fidelity® Select Construction & Hsg Port,9/29/1986,No,US Equity Mid Cap,47.00,95477081.00,9105.76,1.85,7.12,19.40,0.73,34.14,-2.91,1.01,1.90,11.42,5.35,20.94,1.81,0.62,4.31,3.33,11.95,-14.74,-8.59,-7.59,0.68
FSIEX,Touchstone International Value A,8/19/1994,No,Global Equity Large Cap,232.00,258361143.00,29075.47,1.42,4.83,12.30,0.68,36.85,8.60,4.41,12.89,8.04,9.35,13.41,1.26,0.54,3.03,5.74,6.85,9.33,4.31,-1.80,7.51
FSIIX,Fidelity® International Index Investor,11/5/1997,Yes,Global Equity Large Cap,970.00,8301015922.00,31238.73,1.54,4.71,13.55,0.83,38.12,9.13,4.14,11.33,,10.21,14.21,1.26,0.62,3.71,5.54,7.14,-9.23,-8.08,-1.81,-8.85
FSLBX,Fidelity® Select Brokerage & Invmt Mgmt,7/29/1985,No,Financials Sector Equity,58.00,582595152.00,9490.47,1.30,,15.42,1.53,49.77,1.96,0.80,1.77,,,13.42,1.02,0.59,2.73,2.69,12.06,-26.20,-11.12,-10.52,-12.96
FSLCX,Fidelity® Small Cap Stock,3/12/1998,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
FSLEX,Fidelity® Select Envir and Alt Engy Port,6/29/1989,No,Industrials Sector Equity,20.00,50518048.00,2650.93,2.87,9.96,24.86,1.22,35.49,3.50,3.80,6.64,14.13,7.52,20.09,2.68,0.97,9.05,1.09,13.12,20.85,3.73,11.25,11.37
FSLSX,Fidelity® Value Strategies,12/30/1983,No,US Equity Large Cap Value,268.00,977642441.00,4171.62,1.57,5.84,16.30,0.63,42.66,-0.88,-1.10,-1.21,14.78,2.31,15.61,1.34,0.47,3.18,2.81,8.21,-3.82,-5.86,0.76,6.86
FSLVX,Fidelity® Stk Selec Lg Cp Val,11/15/2001,No,US Equity Large Cap Value,98.00,1010772954.00,27957.85,1.45,6.07,15.20,0.90,42.22,1.13,0.34,3.25,12.73,6.59,12.07,1.38,0.69,4.37,3.22,9.18,-10.09,-1.52,9.82,7.04
FSMEX,Fidelity® Select Medical Equip & Systems,4/28/1998,No,Healthcare Sector Equity,58.00,1247042009.00,8314.42,2.85,13.92,23.21,2.25,28.51,8.34,5.32,10.48,17.57,8.79,17.75,2.43,2.10,16.13,1.05,13.97,4.35,11.10,4.33,-0.04
FSMVX,Fidelity® Mid Cap Value,11/15/2001,No,US Equity Mid Cap,117.00,510244554.00,4414.83,1.30,5.18,13.82,0.75,41.20,1.99,-0.04,0.88,9.15,4.30,12.55,1.34,0.60,3.85,3.55,9.50,-7.05,-5.41,7.44,8.08
FSNGX,Fidelity® Select Natural Gas,4/21/1993,No,Energy Sector Equity,86.00,1165246578.00,7260.12,1.66,5.25,18.54,1.39,40.67,-3.49,-5.34,-6.68,-9.89,-3.19,18.42,1.37,0.86,2.48,1.07,14.80,6.85,-15.26,-1.50,-20.59
FSOPX,Fidelity® Series Small Cap Opps,3/22/2007,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
FSPCX,Fidelity® Select Insurance Port,12/16/1985,No,Financials Sector Equity,37.00,134509119.00,10470.78,0.98,,8.78,0.92,22.53,7.48,2.10,7.06,,,7.87,1.33,0.91,2.65,2.82,10.00,-5.91,-10.24,-6.31,
FSPHX,Fidelity® Select Health Care,7/14/1981,No,Healthcare Sector Equity,100.00,1622439035.00,10353.59,2.76,12.22,19.52,1.41,29.38,9.51,5.13,13.73,16.36,8.87,15.02,2.70,1.27,10.19,0.43,11.71,5.22,1.29,12.40,10.01
FSPTX,Fidelity® Select Technology,7/14/1981,No,Technology Sector Equity,223.00,2099009850.00,19594.15,3.89,15.65,29.45,2.82,15.90,9.99,6.64,13.55,19.44,15.50,22.54,3.83,2.25,5.95,0.79,14.41,5.66,3.20,5.62,11.84
FSRBX,Fidelity® Select Banking,6/30/1986,No,Financials Sector Equity,40.00,299693181.00,18145.34,0.99,,22.91,1.45,53.10,1.68,-0.08,-1.09,,,15.57,0.77,1.48,2.13,7.17,8.51,-26.91,0.92,2.34,
FSRFX,Fidelity® Select Transportation,9/29/1986,No,Industrials Sector Equity,34.00,83146628.00,3270.05,1.87,4.59,12.49,0.34,57.65,1.78,-2.12,6.42,7.94,2.66,13.95,2.20,0.25,4.14,2.46,13.65,-13.29,-13.94,2.22,-9.74
FSRPX,Fidelity® Select Retailing,12/16/1985,No,Consumer Goods & Services Sector Equity,53.00,138461708.00,9372.94,2.57,7.17,19.58,0.61,28.19,1.39,4.75,9.81,10.77,10.18,17.85,2.64,0.40,5.29,1.85,7.74,5.55,-9.36,6.24,17.97
FSSAX,Franklin Small Cap Growth Adv,5/1/2000,No,US Equity Small Cap,105.00,324153888.00,1214.69,2.32,12.11,24.59,1.60,27.06,4.62,1.58,4.31,25.53,1.77,23.50,2.16,1.26,7.89,0.78,16.82,7.11,5.98,5.29,17.19
FSTCX,Fidelity® Select Telecommunications Port,7/29/1985,No,Communications Sector Equity,75.00,308876607.00,27422.22,1.80,4.37,16.74,1.08,53.47,5.02,2.08,5.12,10.13,4.02,15.31,1.95,1.02,4.25,0.72,6.59,2.13,-11.19,-2.66,0.19
FSTEX,Invesco Energy Inv,1/19/1984,No,Energy Sector Equity,45.00,1558604457.00,19963.86,2.10,7.86,18.30,1.81,27.98,6.21,3.03,5.69,57.54,5.42,16.52,1.79,1.09,4.55,1.04,11.92,19.26,17.99,18.88,25.41
FSTKX,Federated MDT Large Cap Value Service,3/31/1982,No,US Equity Large Cap Value,70.00,262871150.00,21690.11,1.29,6.64,12.78,0.77,31.54,3.75,2.26,5.66,32.48,7.58,9.96,1.36,0.59,3.49,2.18,9.00,2.08,1.96,12.37,5.17
FSTMX,Fidelity® Total Market Index Investor,11/5/1997,Yes,US Equity Large Cap Blend,3037.00,9187199072.00,24938.56,2.07,8.66,18.37,1.16,35.57,7.70,4.79,12.87,15.86,11.96,15.07,1.99,0.91,6.04,2.64,9.37,-5.02,-1.91,5.89,9.29
FSTUX,Invesco Dividend Income Investor,6/2/1986,No,US Equity Large Cap Value,31.00,249296029.00,12419.87,1.60,5.20,14.17,1.02,54.12,7.48,2.90,11.20,42.54,4.95,12.26,1.50,0.82,4.32,3.95,5.94,4.88,4.83,7.01,1.34
FSUTX,Fidelity® Select Utilities,12/10/1981,No,Utilities Sector Equity,30.00,364318907.00,7613.30,1.46,5.03,14.44,0.94,56.34,6.65,2.07,8.37,19.90,6.13,12.73,1.52,0.78,4.26,3.92,6.33,10.35,4.75,5.45,3.19
FSVLX,Fidelity® Select Consumer Finance Port,12/16/1985,No,Financials Sector Equity,42.00,74355914.00,2901.50,0.97,,20.42,1.96,44.91,8.90,0.02,0.86,,,16.65,0.90,1.29,3.85,4.90,8.15,-21.58,-5.16,3.95,17.25
FTCHX,Invesco Technology Investor,1/19/1984,No,Technology Sector Equity,61.00,610566320.00,17507.69,3.31,13.09,27.65,2.10,23.33,8.58,3.21,10.18,15.46,11.29,20.64,2.41,1.55,4.39,1.22,12.79,9.41,-0.76,14.42,11.22
FTEIX,Fidelity Advisor® Total Intl Equity I,11/1/2007,No,Global Equity Large Cap,510.00,51530846.00,19652.22,1.24,5.90,9.71,1.05,34.39,10.05,5.04,12.78,,,14.47,1.41,0.71,4.07,3.67,12.99,304.77,-12.43,-2.61,-0.62
FTQGX,Fidelity® Focused Stock,11/12/1996,No,US Equity Large Cap Growth,48.00,127567210.00,31211.91,2.88,11.79,21.38,1.73,31.99,7.81,5.07,12.72,18.05,13.17,17.13,2.65,1.39,8.33,1.50,11.65,4.84,8.49,12.63,17.41
FTRNX,Fidelity® Trend,6/16/1958,No,US Equity Large Cap Growth,136.00,820568694.00,29491.81,3.06,12.93,23.94,1.57,26.09,10.18,7.03,15.84,17.42,14.14,18.49,2.83,1.19,7.74,1.35,12.23,1.88,3.75,9.88,7.10
FUGIX,Fidelity Advisor® Utilities I,9/3/1996,No,Utilities Sector Equity,29.00,142180771.00,7606.13,1.46,5.01,14.39,0.94,56.46,6.65,2.07,8.36,19.68,6.17,12.69,1.51,0.78,4.22,3.91,6.31,10.42,4.66,5.36,3.23
FUSEX,Fidelity® 500 Index Investor,2/17/1988,Yes,US Equity Large Cap Blend,500.00,23324991875.00,43877.12,2.20,9.09,18.55,1.24,35.85,8.55,5.79,14.67,15.38,13.58,14.75,2.11,1.02,6.47,2.70,9.43,-4.97,-1.92,6.85,9.54
FUSIX,Strategic Advisers® International II,3/8/2007,No,Global Equity Large Cap,,,,,,,,,,,,,,,,,,,,,,,
FVDFX,Fidelity® Value Discovery,12/10/2002,No,US Equity Large Cap Value,189.00,692559799.00,14239.43,1.67,6.31,18.11,0.96,39.67,1.89,0.36,1.54,18.70,4.21,14.39,1.40,0.75,4.62,2.62,10.82,-12.11,-4.84,-0.66,5.30
FVGRX,Franklin Global Real Estate Adv,6/16/2006,No,Real Estate Sector Equity,87.00,48395428.00,5511.61,1.20,,28.71,2.91,51.88,16.32,-1.90,-2.92,,,22.90,1.16,3.60,8.34,7.11,5.11,-16.23,-1.34,1.42,
FVIFX,Fidelity Advisor® Value I,12/23/2003,No,US Equity Mid Cap,347.00,86596888.00,6484.69,1.53,6.31,18.00,0.75,43.60,-0.87,-1.55,-1.73,14.62,1.72,15.81,1.35,0.60,4.34,3.38,10.74,-12.33,-7.44,2.07,2.31
FVLIX,Fidelity Advisor® Value Leaders I,6/17/2003,No,US Equity Large Cap Value,163.00,60027180.00,29260.18,1.54,6.51,16.91,1.00,40.88,3.91,1.66,4.43,19.47,6.58,13.59,1.40,0.79,4.47,2.95,9.49,-9.15,-1.06,2.72,2.78
FVSAX,Strategic Advisers® Value,12/30/2008,No,US Equity Large Cap Value,377.00,927508009.00,34190.70,1.75,7.85,16.21,1.08,36.66,7.28,4.35,11.94,15.54,11.50,12.78,1.68,0.83,4.84,2.78,9.02,-3.53,-0.18,8.23,7.30
FWRLX,Fidelity® Select Wireless,9/21/2000,No,Communications Sector Equity,64.00,353157856.00,15687.40,1.68,6.18,15.92,1.22,35.77,5.27,2.02,3.17,15.97,5.36,16.48,1.64,1.03,4.40,1.67,11.74,-11.70,-9.11,0.09,-11.93
FWWFX,Fidelity® Worldwide,5/30/1990,No,Global Equity,369.00,1061501285.00,23076.47,2.12,7.56,18.56,1.15,34.71,8.60,5.01,12.41,19.35,11.54,16.34,1.82,0.88,4.91,2.91,10.26,-16.51,0.86,-10.17,10.89
